,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
12,12,861.0,0.828734392602348,0.8459354479959562,0.8240507969371984,0.8396881308223676,8.661926682013877e-05,8.306541125859342e-05,9.077285996673872e-05,8.512536842292115e-05,0.010866664534000016,0.4692975841929562,0.10806582755920525,2.2968382038882764e-20,0.39496162404424173,0.039488388132933136
13,13,2442.0,0.7830680696986283,0.7707078822814284,0.7832517189700771,0.7996223533281684,2.620987285274516e-05,3.090122716021159e-05,2.85715048263934e-05,2.6042187729629306e-05,0.0003003949888595014,0.9533543994905467,2.8297678795561056e-07,1.51203783180772e-18,1.0677898644331139e-13,4.891193514777025e-06
14,14,1959.0,0.762447300992336,0.7517611451759438,0.744729659685591,0.7403410685794226,4.3948919574756755e-05,4.6749329723705386e-05,4.842310590789717e-05,5.013345345223873e-05,0.029856279930280196,0.0002823585484978311,6.976568142442255e-08,0.00011739446642593446,0.034394879859225,0.4080355205030878
15,15,571.0,0.573559774326528,0.6016882697391591,0.5761385516860298,0.5798176504998225,0.00012629263286022843,0.0001383828576666212,0.00013156389798264732,0.00013910342796185377,0.022159193361233443,0.8182549163118953,0.43832078174880584,1.5292395987931642e-06,0.07527015915429514,0.7457292329787379
16,16,4504.0,0.8614574249529908,0.8527188991231991,0.8429240263599751,0.8889849337593709,1.0745442948095716e-05,1.2792138635558905e-05,1.3309279089805082e-05,9.690893006404589e-06,0.003689688406256529,4.844179104908638e-10,3.8363351094153006e-26,1.7485056107137215e-16,1.789169028629154e-33,5.722821255696579e-50
17,17,9882.0,0.8677458856354128,0.8495137853858235,0.8500036290847286,0.8847192285708758,3.923517498754541e-06,4.92295840638502e-06,4.714677325132765e-06,3.6465441227949336e-06,3.821029811734747e-32,1.1582966208241727e-36,3.867653797320301e-47,0.4358420680294883,1.0866765086988963e-104,1.4695192479024392e-112
18,18,3260.0,0.8130640237210426,0.7837757804760268,0.7778540696938298,0.807808867491997,1.9504241950004894e-05,2.384833055197289e-05,2.4534920100578328e-05,2.187973670122814e-05,1.6272260490408287e-17,1.1303772416969256e-24,0.046964629604410384,3.05641888689831e-07,4.063730080909074e-11,2.0324238784067837e-16
19,19,643.0,0.6919326225602893,0.6906867419089489,0.6439384239251835,0.6689243061605938,0.00011291660602503311,0.00013235774286181353,0.0001328524890494823,0.00013504733495107811,0.8929486471670007,8.964391246569927e-07,0.003756162586478974,3.9697853919556907e-26,0.015815354631613474,0.008037382182718477
20,20,23663.0,0.7146829353214122,0.6900928956878198,0.7070893650432222,0.7125608676480428,3.44009136071762e-06,3.819388959276977e-06,3.427699916759323e-06,3.758440495034234e-06,1.853646641191365e-46,5.348324500084661e-07,0.15310050303298167,7.826394884542369e-82,2.48713778440763e-39,0.0008327782419498506
21,21,12675.0,0.8009728120405063,0.794462149397106,0.7934945526934138,0.8176998566179264,5.529643190978012e-06,6.205118963470399e-06,5.941814603281502e-06,5.7299497061900755e-06,0.000674505285930288,5.1679827529530114e-05,3.486747633329236e-18,0.135147684198717,4.0535025897430275e-33,9.0981566442075e-35
