,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
78,78,57.0,0.7752676799031217,0.7755467925675555,0.7505138355572928,0.8038840730776994,0.0007476784274148852,0.0009666901058631617,0.0009650699686951097,0.0007120278625238378,0.9908964451813692,0.26902152312673644,0.16764229441167555,0.028646946760615844,0.22171787731833992,0.011976074065596466
79,79,121.0,0.8810976198202348,0.8976770598730233,0.8808616344841977,0.8777044070299201,0.00019650286343723196,0.00018595863737165555,0.00022360531325778805,0.00023599791168803789,0.049417669540729285,0.9795957273313314,0.5902572100865184,0.0015820676549376505,0.008390370881427302,0.7150451219131775
80,80,72.0,0.7697797650125265,0.77050524735204,0.7582254216296944,0.7560451802474532,0.0007692712147596861,0.0009157149459593543,0.0009007952955348528,0.0010285090139728588,0.9622672152665223,0.4660541551261057,0.27833260058789233,0.09078738280744497,0.23291873315022238,0.8476339757361595
81,81,36.0,0.6731616889179914,0.7188612818864919,0.7169595110771582,0.7162612519755377,0.002258492302367475,0.0025344823773677055,0.002576516675182631,0.0019196801124428777,0.08363147329708101,0.08196809682856583,0.14944346060471486,0.8754428921818128,0.9267238619740148,0.9806793161413706
82,82,13.0,0.784910640391885,0.8229583734090858,0.8131640458988525,0.8020556065045743,0.004348003962220522,0.0038461524385981377,0.005301446681415474,0.0053963603401694865,0.47257670908179994,0.6003033778888945,0.41130297149297435,0.5886049215891918,0.684187795600374,0.823755498368441
83,83,275.0,0.8019079899916596,0.7976066722268557,0.7912924103419515,0.8013084904086739,0.00017574886753383894,0.00020265225406094884,0.00020558412020869768,0.00017034246319060713,0.5735873451468487,0.17347862774336875,0.9219485798261281,0.10078251289621498,0.60609146456275,0.17120795184990967
84,84,103.0,0.8923377020647443,0.8975441729516305,0.8808909365522544,0.8783635561553935,0.0002930582475801269,0.00027901618158814154,0.00032627205885604445,0.0003668380306633242,0.5863865322712012,0.1864641351447337,0.048994958276066,0.0006496985490531319,0.02970979409526016,0.741898129840725
85,85,9.0,0.9760906785546994,0.9747217780362134,0.9627105845487879,0.9713116409038781,5.207246679784411e-05,9.697342826815005e-05,0.00032934120232666137,0.00012001026502962335,0.84980318356155,0.3747466045897686,0.5311283017664536,0.16793359899907434,0.5183486435031416,0.38678052792703355
86,86,5.0,0.934469476744186,0.8956613372093023,0.8541351744186046,0.9128052325581396,0.0010192843759705007,0.00219428785552959,0.0046547445673126115,0.0017757288339725966,0.14896752118012083,0.028211409053611254,0.24333592532090742,0.24154517468526981,0.14467328827573725,0.0737432131471599
87,87,6.0,0.9534563998207299,0.937540123793258,0.9303965744879296,0.9528749833448406,0.0002765419008540195,0.0003827751325008549,0.0006936963018157342,0.00014351360159777697,0.3986580835983624,0.3165067758520631,0.9682668555160091,0.5357599263403863,0.2124978900158644,0.17199324463928023
88,88,241.0,0.9511088528774635,0.9362558634823748,0.9357550607989361,0.9561185526026835,9.899951090915971e-05,0.00012485629164587462,0.0001256007920004889,8.334866893105335e-05,0.00901074692648956,0.016094231085177674,0.136798212239762,0.784398578011754,0.002437117664728496,0.00412912428905681
89,89,6.0,0.9132205627626974,0.8999903097254018,0.8896398851702461,0.9036393037537701,0.0023639664667290676,0.0031659940767223213,0.004242032889766699,0.0030889654454164406,0.4703620152924556,0.28929950518769276,0.6235362897894887,0.30584070944950703,0.6020933825501116,0.2226060978132356
90,90,908.0,0.976270382331586,0.9772030114237548,0.9745122896019387,0.9749038365894805,2.453159429939893e-06,2.1771522992371315e-06,2.7284428936662537e-06,2.5833964205397292e-06,0.33765183151725486,0.059113915617551804,0.05180127758142593,0.014494878364679427,0.025258398273439897,0.6422504751874635
91,91,67.0,0.9729652234131259,0.9668329269233988,0.9628319724126835,0.9671791816646971,1.2388303101059778e-05,3.335433883100954e-05,4.6236975907644676e-05,3.1863322873375825e-05,0.12098127622361214,0.04662350414461247,0.061852081269644706,0.138241719488103,0.9070634747263417,0.24334360491372597
92,92,176.0,0.9691592720691133,0.9671551893205336,0.9681593601560968,0.9687482341052857,1.5914339106553825e-05,3.1240629998406794e-05,2.3753361878187204e-05,1.65524213325137e-05,0.5474052295788829,0.6506754927285785,0.8143040093771874,0.7590160926891878,0.5799396349952077,0.7993509001156701
93,93,107.0,0.9703193140736388,0.9703002257197844,0.9682506137246627,0.9665314688556464,2.41316886003159e-05,2.827144200458119e-05,3.1172599402424036e-05,4.461241351428889e-05,0.9930251426128618,0.27962312838320136,0.209297763367416,0.16016898854331274,0.11486914804856843,0.5112978470741367
94,94,129.0,0.9588689742518853,0.9691529686334563,0.9586767037795366,0.9605913441785764,4.874212353536139e-05,2.0030021608125133e-05,3.7193045740439676e-05,3.6670443024679496e-05,0.008231262629330436,0.946195640511589,0.5576443118895965,0.00015706590704711235,0.0020124951605571297,0.2905520516695316
95,95,128.0,0.9804994045880936,0.9779939979742307,0.9770763564441362,0.9782723131182246,9.136203123539868e-06,2.1006961726030046e-05,1.9040548631309227e-05,1.6419179980313093e-05,0.48868871487478216,0.2533374982697041,0.2840275666852635,0.846585394112324,0.9425673674166581,0.6301037985843462
